E	(eV)	dos(E)	Int	dos(E)	EFermi	=	12.52	eV
-26.42	1.42E-01	5.40E+01						
-26.41	1.00E-01	5.40E+01						
-26.4	6.98E-02	5.40E+01						
-26.39	4.82E-02	5.40E+01						
-26.38	3.29E-02	5.40E+01						
-26.37	2.23E-02	5.40E+01						
-26.36	1.49E-02	5.40E+01						
-26.35	9.87E-03	5.40E+01						
-26.34	6.48E-03	5.40E+01						
-26.33	4.20E-03	5.40E+01						
-26.32	2.70E-03	5.40E+01						
-26.31	1.72E-03	5.40E+01						
-26.3	1.08E-03	5.40E+01						
-26.29	6.74E-04	5.40E+01						
-26.28	4.16E-04	5.40E+01						
-26.27	2.54E-04	5.40E+01						
-26.26	1.53E-04	5.40E+01						
-26.25	9.16E-05	5.40E+01						
-26.24	5.42E-05	5.40E+01						
-26.23	3.17E-05	5.40E+01						
-26.22	1.84E-05	5.40E+01						
-26.21	1.05E-05	5.40E+01						
-26.2	5.98E-06	5.40E+01						
-26.19	3.36E-06	5.40E+01						
-26.18	1.87E-06	5.40E+01						
-26.17	1.03E-06	5.40E+01						
-26.16	5.57E-07	5.40E+01						
-26.15	3.00E-07	5.40E+01						
-26.14	1.60E-07	5.40E+01						
-26.13	8.42E-08	5.40E+01						
-26.12	4.39E-08	5.40E+01						
-26.11	2.26E-08	5.40E+01						
-26.1	1.16E-08	5.40E+01						
-26.09	5.83E-09	5.40E+01						
-26.08	2.91E-09	5.40E+01						
-26.07	1.44E-09	5.40E+01						
-26.06	7.04E-10	5.40E+01						
-26.05	3.41E-10	5.40E+01						
-26.04	1.63E-10	5.40E+01						
-26.03	7.72E-11	5.40E+01						
-26.02	3.62E-11	5.40E+01						
-26.01	1.68E-11	5.40E+01						
-26	7.69E-12	5.40E+01						
-25.99	3.49E-12	5.40E+01						
-25.98	1.57E-12	5.40E+01						
-25.97	6.96E-13	5.40E+01						
-25.96	3.06E-13	5.40E+01						
-25.95	1.33E-13	5.40E+01						
-25.94	5.71E-14	5.40E+01						
-25.93	2.43E-14	5.40E+01						
-25.92	1.02E-14	5.40E+01						
-25.91	4.26E-15	5.40E+01						
-25.9	1.76E-15	5.40E+01						
-25.89	7.15E-16	5.40E+01						
-25.88	2.88E-16	5.40E+01						
-25.87	1.15E-16	5.40E+01						
-25.86	4.54E-17	5.40E+01						
-25.85	1.77E-17	5.40E+01						
-25.84	6.84E-18	5.40E+01						
-25.83	2.61E-18	5.40E+01						
-25.82	9.87E-19	5.40E+01						
-25.81	3.69E-19	5.40E+01						
-25.8	1.37E-19	5.40E+01						
-25.79	4.99E-20	5.40E+01						
-25.78	1.81E-20	5.40E+01						
-25.77	6.47E-21	5.40E+01						
-25.76	2.29E-21	5.40E+01						
-25.75	8.03E-22	5.40E+01						
-25.74	2.79E-22	5.40E+01						
-25.73	9.55E-23	5.40E+01						
-25.72	3.24E-23	5.40E+01						
-25.71	1.09E-23	5.40E+01						
-25.7	3.61E-24	5.40E+01						
-25.69	1.19E-24	5.40E+01						
-25.68	3.85E-25	5.40E+01						
-25.67	1.24E-25	5.40E+01						
-25.66	3.94E-26	5.40E+01						
-25.65	1.24E-26	5.40E+01						
-25.64	3.86E-27	5.40E+01						
-25.63	1.19E-27	5.40E+01						
-25.62	3.62E-28	5.40E+01						
-25.61	1.09E-28	5.40E+01						
-25.6	3.25E-29	5.40E+01						
-25.59	9.58E-30	5.40E+01						
-25.58	2.79E-30	5.40E+01						
-25.57	8.06E-31	5.40E+01						
-25.56	2.30E-31	5.40E+01						
-25.55	6.50E-32	5.40E+01						
-25.54	1.82E-32	5.40E+01						
-25.53	5.02E-33	5.40E+01						
-25.52	1.37E-33	5.40E+01						
-25.51	3.71E-34	5.40E+01						
-25.5	9.92E-35	5.40E+01						
-25.49	2.63E-35	5.40E+01						
-25.48	6.87E-36	5.40E+01						
-25.47	1.78E-36	5.40E+01						
-25.46	4.56E-37	5.40E+01						
-25.45	1.16E-37	5.40E+01						
-25.44	2.90E-38	5.40E+01						
-25.43	7.19E-39	5.40E+01						
-25.42	1.77E-39	5.40E+01						
-25.41	4.29E-40	5.40E+01						
-25.4	1.03E-40	5.40E+01						
-25.39	2.45E-41	5.40E+01						
-25.38	5.75E-42	5.40E+01						
-25.37	1.34E-42	5.40E+01						
-25.36	3.07E-43	5.40E+01						
-25.35	6.99E-44	5.40E+01						
-25.34	1.57E-44	5.40E+01						
-25.33	3.50E-45	5.40E+01						
-25.32	7.72E-46	5.40E+01						
-25.31	1.68E-46	5.40E+01						
-25.3	3.62E-47	5.40E+01						
-25.29	7.73E-48	5.40E+01						
-25.28	1.63E-48	5.40E+01						
-25.27	3.40E-49	5.40E+01						
-25.26	7.02E-50	5.40E+01						
-25.25	1.43E-50	5.40E+01						
-25.24	2.90E-51	5.40E+01						
-25.23	5.79E-52	5.40E+01						
-25.22	1.15E-52	5.40E+01						
-25.21	2.24E-53	5.40E+01						
-25.2	4.33E-54	5.40E+01						
-25.19	8.29E-55	5.40E+01						
-25.18	1.57E-55	5.40E+01						
-25.17	2.94E-56	5.40E+01						
-25.16	5.45E-57	5.40E+01						
-25.15	9.99E-58	5.40E+01						
-25.14	1.81E-58	5.40E+01						
-25.13	3.25E-59	5.40E+01						
-25.12	5.77E-60	5.40E+01						
-25.11	1.01E-60	5.40E+01						
-25.1	1.76E-61	5.40E+01						
-25.09	3.02E-62	5.40E+01						
-25.08	5.14E-63	5.40E+01						
-25.07	8.63E-64	5.40E+01						
-25.06	1.44E-64	5.40E+01						
-25.05	2.36E-65	5.40E+01						
-25.04	3.85E-66	5.40E+01						
-25.03	6.19E-67	5.40E+01						
-25.02	9.86E-68	5.40E+01						
-25.01	1.55E-68	5.40E+01						
-25	2.42E-69	5.40E+01						
-24.99	3.74E-70	5.40E+01						
-24.98	5.70E-71	5.40E+01						
-24.97	8.60E-72	5.40E+01						
-24.96	1.28E-72	5.40E+01						
-24.95	1.90E-73	5.40E+01						
-24.94	2.77E-74	5.40E+01						
-24.93	4.01E-75	5.40E+01						
-24.92	5.73E-76	5.40E+01						
-24.91	8.10E-77	5.40E+01						
-24.9	1.13E-77	5.40E+01						
-24.89	1.57E-78	5.40E+01						
-24.88	2.15E-79	5.40E+01						
-24.87	2.91E-80	5.40E+01						
-24.86	3.90E-81	5.40E+01						
-24.85	5.20E-82	5.40E+01						
-24.84	7.10E-83	5.40E+01						
-24.83	1.20E-83	5.40E+01						
-24.82	4.33E-84	5.40E+01						
-24.81	3.35E-84	5.40E+01						
-24.8	3.23E-84	5.40E+01						
-24.79	3.23E-84	5.40E+01						
-24.78	3.23E-84	5.40E+01						
-24.77	3.23E-84	5.40E+01						
-24.76	3.23E-84	5.40E+01						
-24.75	3.23E-84	5.40E+01						
-24.74	3.23E-84	5.40E+01						
-24.73	3.23E-84	5.40E+01						
-24.72	3.23E-84	5.40E+01						
-24.71	3.23E-84	5.40E+01						
-24.7	3.23E-84	5.40E+01						
-24.69	3.23E-84	5.40E+01						
-24.68	3.23E-84	5.40E+01						
-24.67	3.23E-84	5.40E+01						
-24.66	3.23E-84	5.40E+01						
-24.65	3.23E-84	5.40E+01						
-24.64	3.23E-84	5.40E+01						
-24.63	3.23E-84	5.40E+01						
-24.62	3.23E-84	5.40E+01						
-24.61	3.23E-84	5.40E+01						
-24.6	3.23E-84	5.40E+01						
-24.59	3.23E-84	5.40E+01						
-24.58	3.23E-84	5.40E+01						
-24.57	3.23E-84	5.40E+01						
-24.56	3.23E-84	5.40E+01						
-24.55	3.23E-84	5.40E+01						
-24.54	3.23E-84	5.40E+01						
-24.53	3.23E-84	5.40E+01						
-24.52	3.23E-84	5.40E+01						
-24.51	3.23E-84	5.40E+01						
-24.5	3.23E-84	5.40E+01						
-24.49	3.23E-84	5.40E+01						
-24.48	3.23E-84	5.40E+01						
-24.47	3.23E-84	5.40E+01						
-24.46	3.23E-84	5.40E+01						
-24.45	3.23E-84	5.40E+01						
-24.44	3.23E-84	5.40E+01						
-24.43	3.23E-84	5.40E+01						
-24.42	3.23E-84	5.40E+01						
-24.41	3.23E-84	5.40E+01						
-24.4	3.23E-84	5.40E+01						
-24.39	3.23E-84	5.40E+01						
-24.38	3.23E-84	5.40E+01						
-24.37	3.23E-84	5.40E+01						
-24.36	3.23E-84	5.40E+01						
-24.35	3.23E-84	5.40E+01						
-24.34	3.23E-84	5.40E+01						
-24.33	3.23E-84	5.40E+01						
-24.32	3.23E-84	5.40E+01						
-24.31	3.23E-84	5.40E+01						
-24.3	3.23E-84	5.40E+01						
-24.29	3.23E-84	5.40E+01						
-24.28	3.23E-84	5.40E+01						
-24.27	3.23E-84	5.40E+01						
-24.26	3.23E-84	5.40E+01						
-24.25	3.23E-84	5.40E+01						
-24.24	3.23E-84	5.40E+01						
-24.23	3.23E-84	5.40E+01						
-24.22	3.23E-84	5.40E+01						
-24.21	3.23E-84	5.40E+01						
-24.2	3.23E-84	5.40E+01						
-24.19	3.23E-84	5.40E+01						
-24.18	3.23E-84	5.40E+01						
-24.17	3.23E-84	5.40E+01						
-24.16	3.23E-84	5.40E+01						
-24.15	3.23E-84	5.40E+01						
-24.14	3.23E-84	5.40E+01						
-24.13	3.23E-84	5.40E+01						
-24.12	3.23E-84	5.40E+01						
-24.11	3.23E-84	5.40E+01						
-24.1	3.23E-84	5.40E+01						
-24.09	3.23E-84	5.40E+01						
-24.08	3.23E-84	5.40E+01						
-24.07	3.23E-84	5.40E+01						
-24.06	3.23E-84	5.40E+01						
-24.05	3.23E-84	5.40E+01						
-24.04	3.23E-84	5.40E+01						
-24.03	3.23E-84	5.40E+01						
-24.02	3.23E-84	5.40E+01						
-24.01	3.23E-84	5.40E+01						
-24	3.23E-84	5.40E+01						
-23.99	3.23E-84	5.40E+01						
-23.98	3.23E-84	5.40E+01						
-23.97	3.23E-84	5.40E+01						
-23.96	3.23E-84	5.40E+01						
-23.95	3.23E-84	5.40E+01						
-23.94	3.23E-84	5.40E+01						
-23.93	3.23E-84	5.40E+01						
-23.92	3.23E-84	5.40E+01						
-23.91	3.23E-84	5.40E+01						
-23.9	3.23E-84	5.40E+01						
-23.89	3.23E-84	5.40E+01						
-23.88	3.23E-84	5.40E+01						
-23.87	3.23E-84	5.40E+01						
-23.86	3.23E-84	5.40E+01						
-23.85	3.23E-84	5.40E+01						
-23.84	3.23E-84	5.40E+01						
-23.83	3.23E-84	5.40E+01						
-23.82	3.23E-84	5.40E+01						
-23.81	3.23E-84	5.40E+01						
-23.8	3.23E-84	5.40E+01						
-23.79	3.23E-84	5.40E+01						
-23.78	3.23E-84	5.40E+01						
-23.77	3.23E-84	5.40E+01						
-23.76	3.23E-84	5.40E+01						
-23.75	3.23E-84	5.40E+01						
-23.74	3.23E-84	5.40E+01						
-23.73	3.23E-84	5.40E+01						
-23.72	3.23E-84	5.40E+01						
-23.71	3.23E-84	5.40E+01						
-23.7	3.23E-84	5.40E+01						
-23.69	3.23E-84	5.40E+01						
-23.68	3.23E-84	5.40E+01						
-23.67	3.23E-84	5.40E+01						
-23.66	3.23E-84	5.40E+01						
-23.65	3.23E-84	5.40E+01						
-23.64	3.23E-84	5.40E+01						
-23.63	3.23E-84	5.40E+01						
-23.62	3.23E-84	5.40E+01						
-23.61	3.23E-84	5.40E+01						
-23.6	3.23E-84	5.40E+01						
-23.59	3.23E-84	5.40E+01						
-23.58	3.23E-84	5.40E+01						
-23.57	3.23E-84	5.40E+01						
-23.56	3.23E-84	5.40E+01						
-23.55	3.23E-84	5.40E+01						
-23.54	3.23E-84	5.40E+01						
-23.53	3.23E-84	5.40E+01						
-23.52	3.23E-84	5.40E+01						
-23.51	3.23E-84	5.40E+01						
-23.5	3.23E-84	5.40E+01						
-23.49	3.23E-84	5.40E+01						
-23.48	3.23E-84	5.40E+01						
-23.47	3.23E-84	5.40E+01						
-23.46	3.23E-84	5.40E+01						
-23.45	3.23E-84	5.40E+01						
-23.44	3.23E-84	5.40E+01						
-23.43	3.23E-84	5.40E+01						
-23.42	3.23E-84	5.40E+01						
-23.41	3.23E-84	5.40E+01						
-23.4	3.23E-84	5.40E+01						
-23.39	3.23E-84	5.40E+01						
-23.38	3.23E-84	5.40E+01						
-23.37	3.23E-84	5.40E+01						
-23.36	3.23E-84	5.40E+01						
-23.35	3.23E-84	5.40E+01						
-23.34	3.23E-84	5.40E+01						
-23.33	3.23E-84	5.40E+01						
-23.32	3.23E-84	5.40E+01						
-23.31	3.23E-84	5.40E+01						
-23.3	3.23E-84	5.40E+01						
-23.29	3.23E-84	5.40E+01						
-23.28	3.23E-84	5.40E+01						
-23.27	3.23E-84	5.40E+01						
-23.26	3.23E-84	5.40E+01						
-23.25	3.23E-84	5.40E+01						
-23.24	3.23E-84	5.40E+01						
-23.23	3.23E-84	5.40E+01						
-23.22	3.23E-84	5.40E+01						
-23.21	3.23E-84	5.40E+01						
-23.2	3.23E-84	5.40E+01						
-23.19	3.23E-84	5.40E+01						
-23.18	3.23E-84	5.40E+01						
-23.17	3.23E-84	5.40E+01						
-23.16	3.23E-84	5.40E+01						
-23.15	3.23E-84	5.40E+01						
-23.14	3.23E-84	5.40E+01						
-23.13	3.23E-84	5.40E+01						
-23.12	3.23E-84	5.40E+01						
-23.11	3.23E-84	5.40E+01						
-23.1	3.23E-84	5.40E+01						
-23.09	3.23E-84	5.40E+01						
-23.08	3.23E-84	5.40E+01						
-23.07	3.23E-84	5.40E+01						
-23.06	3.23E-84	5.40E+01						
-23.05	3.23E-84	5.40E+01						
-23.04	3.23E-84	5.40E+01						
-23.03	3.23E-84	5.40E+01						
-23.02	3.23E-84	5.40E+01						
-23.01	3.23E-84	5.40E+01						
-23	3.23E-84	5.40E+01						
-22.99	3.23E-84	5.40E+01						
-22.98	3.23E-84	5.40E+01						
-22.97	3.23E-84	5.40E+01						
-22.96	3.23E-84	5.40E+01						
-22.95	3.23E-84	5.40E+01						
-22.94	3.23E-84	5.40E+01						
-22.93	3.23E-84	5.40E+01						
-22.92	3.23E-84	5.40E+01						
-22.91	3.23E-84	5.40E+01						
-22.9	3.23E-84	5.40E+01						
-22.89	3.23E-84	5.40E+01						
-22.88	3.23E-84	5.40E+01						
-22.87	3.23E-84	5.40E+01						
-22.86	3.23E-84	5.40E+01						
-22.85	3.23E-84	5.40E+01						
-22.84	3.23E-84	5.40E+01						
-22.83	3.23E-84	5.40E+01						
-22.82	3.23E-84	5.40E+01						
-22.81	3.23E-84	5.40E+01						
-22.8	3.23E-84	5.40E+01						
-22.79	3.23E-84	5.40E+01						
-22.78	3.23E-84	5.40E+01						
-22.77	3.23E-84	5.40E+01						
-22.76	3.23E-84	5.40E+01						
-22.75	3.23E-84	5.40E+01						
-22.74	3.23E-84	5.40E+01						
-22.73	3.23E-84	5.40E+01						
-22.72	3.23E-84	5.40E+01						
-22.71	3.23E-84	5.40E+01						
-22.7	3.23E-84	5.40E+01						
-22.69	3.23E-84	5.40E+01						
-22.68	3.23E-84	5.40E+01						
-22.67	3.23E-84	5.40E+01						
-22.66	3.23E-84	5.40E+01						
-22.65	3.23E-84	5.40E+01						
-22.64	3.23E-84	5.40E+01						
-22.63	3.23E-84	5.40E+01						
-22.62	3.23E-84	5.40E+01						
-22.61	3.23E-84	5.40E+01						
-22.6	3.23E-84	5.40E+01						
-22.59	3.23E-84	5.40E+01						
-22.58	3.23E-84	5.40E+01						
-22.57	3.23E-84	5.40E+01						
-22.56	3.23E-84	5.40E+01						
-22.55	3.23E-84	5.40E+01						
-22.54	3.23E-84	5.40E+01						
-22.53	3.23E-84	5.40E+01						
-22.52	3.23E-84	5.40E+01						
-22.51	3.23E-84	5.40E+01						
-22.5	3.23E-84	5.40E+01						
-22.49	3.23E-84	5.40E+01						
-22.48	3.23E-84	5.40E+01						
-22.47	3.23E-84	5.40E+01						
-22.46	3.23E-84	5.40E+01						
-22.45	3.23E-84	5.40E+01						
-22.44	3.23E-84	5.40E+01						
-22.43	3.23E-84	5.40E+01						
-22.42	3.23E-84	5.40E+01						
-22.41	3.23E-84	5.40E+01						
-22.4	3.23E-84	5.40E+01						
-22.39	3.23E-84	5.40E+01						
-22.38	3.23E-84	5.40E+01						
-22.37	3.23E-84	5.40E+01						
-22.36	3.23E-84	5.40E+01						
-22.35	3.23E-84	5.40E+01						
-22.34	3.23E-84	5.40E+01						
-22.33	3.23E-84	5.40E+01						
-22.32	3.23E-84	5.40E+01						
-22.31	3.23E-84	5.40E+01						
-22.3	3.23E-84	5.40E+01						
-22.29	3.23E-84	5.40E+01						
-22.28	3.23E-84	5.40E+01						
-22.27	3.23E-84	5.40E+01						
-22.26	3.23E-84	5.40E+01						
-22.25	3.23E-84	5.40E+01						
-22.24	3.23E-84	5.40E+01						
-22.23	3.23E-84	5.40E+01						
-22.22	3.23E-84	5.40E+01						
-22.21	3.23E-84	5.40E+01						
-22.2	3.23E-84	5.40E+01						
-22.19	3.23E-84	5.40E+01						
-22.18	3.23E-84	5.40E+01						
-22.17	3.23E-84	5.40E+01						
-22.16	3.23E-84	5.40E+01						
-22.15	3.23E-84	5.40E+01						
-22.14	3.23E-84	5.40E+01						
-22.13	3.23E-84	5.40E+01						
-22.12	3.23E-84	5.40E+01						
-22.11	3.23E-84	5.40E+01						
-22.1	3.23E-84	5.40E+01						
-22.09	3.23E-84	5.40E+01						
-22.08	3.23E-84	5.40E+01						
-22.07	3.23E-84	5.40E+01						
-22.06	3.23E-84	5.40E+01						
-22.05	3.23E-84	5.40E+01						
-22.04	3.23E-84	5.40E+01						
-22.03	3.23E-84	5.40E+01						
-22.02	3.23E-84	5.40E+01						
-22.01	3.23E-84	5.40E+01						
-22	3.23E-84	5.40E+01						
-21.99	3.23E-84	5.40E+01						
-21.98	3.23E-84	5.40E+01						
-21.97	3.23E-84	5.40E+01						
-21.96	3.23E-84	5.40E+01						
-21.95	3.23E-84	5.40E+01						
-21.94	3.23E-84	5.40E+01						
-21.93	3.23E-84	5.40E+01						
-21.92	3.23E-84	5.40E+01						
-21.91	3.23E-84	5.40E+01						
-21.9	3.23E-84	5.40E+01						
-21.89	3.23E-84	5.40E+01						
-21.88	3.23E-84	5.40E+01						
-21.87	3.23E-84	5.40E+01						
-21.86	3.23E-84	5.40E+01						
-21.85	3.23E-84	5.40E+01						
-21.84	3.23E-84	5.40E+01						
-21.83	3.23E-84	5.40E+01						
-21.82	3.23E-84	5.40E+01						
-21.81	3.23E-84	5.40E+01						
-21.8	3.23E-84	5.40E+01						
-21.79	3.23E-84	5.40E+01						
-21.78	3.23E-84	5.40E+01						
-21.77	3.23E-84	5.40E+01						
-21.76	3.23E-84	5.40E+01						
-21.75	3.23E-84	5.40E+01						
-21.74	3.23E-84	5.40E+01						
-21.73	3.23E-84	5.40E+01						
-21.72	3.23E-84	5.40E+01						
-21.71	3.23E-84	5.40E+01						
-21.7	3.23E-84	5.40E+01						
-21.69	3.23E-84	5.40E+01						
-21.68	3.23E-84	5.40E+01						
-21.67	3.23E-84	5.40E+01						
-21.66	3.23E-84	5.40E+01						
-21.65	3.23E-84	5.40E+01						
-21.64	3.23E-84	5.40E+01						
-21.63	3.23E-84	5.40E+01						
-21.62	3.23E-84	5.40E+01						
-21.61	3.23E-84	5.40E+01						
-21.6	3.23E-84	5.40E+01						
-21.59	3.23E-84	5.40E+01						
-21.58	3.23E-84	5.40E+01						
-21.57	3.23E-84	5.40E+01						
-21.56	3.23E-84	5.40E+01						
-21.55	3.23E-84	5.40E+01						
-21.54	3.23E-84	5.40E+01						
-21.53	3.23E-84	5.40E+01						
-21.52	3.23E-84	5.40E+01						
-21.51	3.23E-84	5.40E+01						
-21.5	3.23E-84	5.40E+01						
-21.49	3.23E-84	5.40E+01						
-21.48	3.23E-84	5.40E+01						
-21.47	3.23E-84	5.40E+01						
-21.46	3.23E-84	5.40E+01						
-21.45	3.23E-84	5.40E+01						
-21.44	3.23E-84	5.40E+01						
-21.43	3.23E-84	5.40E+01						
-21.42	3.23E-84	5.40E+01						
-21.41	3.23E-84	5.40E+01						
-21.4	3.23E-84	5.40E+01						
-21.39	3.23E-84	5.40E+01						
-21.38	3.23E-84	5.40E+01						
-21.37	3.23E-84	5.40E+01						
-21.36	3.23E-84	5.40E+01						
-21.35	3.23E-84	5.40E+01						
-21.34	3.23E-84	5.40E+01						
-21.33	3.23E-84	5.40E+01						
-21.32	3.23E-84	5.40E+01						
-21.31	3.23E-84	5.40E+01						
-21.3	3.23E-84	5.40E+01						
-21.29	3.23E-84	5.40E+01						
-21.28	3.23E-84	5.40E+01						
-21.27	3.23E-84	5.40E+01						
-21.26	3.23E-84	5.40E+01						
-21.25	3.23E-84	5.40E+01						
-21.24	3.23E-84	5.40E+01						
-21.23	3.23E-84	5.40E+01						
-21.22	3.23E-84	5.40E+01						
-21.21	3.23E-84	5.40E+01						
-21.2	3.23E-84	5.40E+01						
-21.19	3.23E-84	5.40E+01						
-21.18	3.23E-84	5.40E+01						
-21.17	3.23E-84	5.40E+01						
-21.16	3.23E-84	5.40E+01						
-21.15	3.23E-84	5.40E+01						
-21.14	3.23E-84	5.40E+01						
-21.13	3.23E-84	5.40E+01						
-21.12	3.23E-84	5.40E+01						
-21.11	3.23E-84	5.40E+01						
-21.1	3.23E-84	5.40E+01						
-21.09	3.23E-84	5.40E+01						
-21.08	3.23E-84	5.40E+01						
-21.07	3.23E-84	5.40E+01						
-21.06	3.23E-84	5.40E+01						
-21.05	3.23E-84	5.40E+01						
-21.04	3.23E-84	5.40E+01						
-21.03	3.23E-84	5.40E+01						
-21.02	3.23E-84	5.40E+01						
-21.01	3.23E-84	5.40E+01						
-21	3.23E-84	5.40E+01						
-20.99	3.23E-84	5.40E+01						
-20.98	3.23E-84	5.40E+01						
-20.97	3.23E-84	5.40E+01						
-20.96	3.23E-84	5.40E+01						
-20.95	3.23E-84	5.40E+01						
-20.94	3.23E-84	5.40E+01						
-20.93	3.23E-84	5.40E+01						
-20.92	3.23E-84	5.40E+01						
-20.91	3.23E-84	5.40E+01						
-20.9	3.23E-84	5.40E+01						
-20.89	3.23E-84	5.40E+01						
-20.88	3.23E-84	5.40E+01						
-20.87	3.23E-84	5.40E+01						
-20.86	3.23E-84	5.40E+01						
-20.85	3.23E-84	5.40E+01						
-20.84	3.23E-84	5.40E+01						
-20.83	3.23E-84	5.40E+01						
-20.82	3.23E-84	5.40E+01						
-20.81	3.23E-84	5.40E+01						
-20.8	3.23E-84	5.40E+01						
-20.79	3.23E-84	5.40E+01						
-20.78	3.23E-84	5.40E+01						
-20.77	3.23E-84	5.40E+01						
-20.76	3.23E-84	5.40E+01						
-20.75	3.23E-84	5.40E+01						
-20.74	3.23E-84	5.40E+01						
-20.73	3.23E-84	5.40E+01						
-20.72	3.23E-84	5.40E+01						
-20.71	3.23E-84	5.40E+01						
-20.7	3.23E-84	5.40E+01						
-20.69	3.23E-84	5.40E+01						
-20.68	3.23E-84	5.40E+01						
-20.67	3.23E-84	5.40E+01						
-20.66	3.23E-84	5.40E+01						
-20.65	3.23E-84	5.40E+01						
-20.64	3.23E-84	5.40E+01						
-20.63	3.23E-84	5.40E+01						
-20.62	3.23E-84	5.40E+01						
-20.61	3.23E-84	5.40E+01						
-20.6	3.23E-84	5.40E+01						
-20.59	3.23E-84	5.40E+01						
-20.58	3.23E-84	5.40E+01						
-20.57	3.23E-84	5.40E+01						
-20.56	3.23E-84	5.40E+01						
-20.55	3.23E-84	5.40E+01						
-20.54	3.23E-84	5.40E+01						
-20.53	3.23E-84	5.40E+01						
-20.52	3.23E-84	5.40E+01						
-20.51	3.23E-84	5.40E+01						
-20.5	3.23E-84	5.40E+01						
-20.49	3.23E-84	5.40E+01						
-20.48	3.23E-84	5.40E+01						
-20.47	3.23E-84	5.40E+01						
-20.46	3.23E-84	5.40E+01						
-20.45	3.23E-84	5.40E+01						
-20.44	3.23E-84	5.40E+01						
-20.43	3.23E-84	5.40E+01						
-20.42	3.23E-84	5.40E+01						
-20.41	3.23E-84	5.40E+01						
-20.4	3.23E-84	5.40E+01						
-20.39	3.23E-84	5.40E+01						
-20.38	3.23E-84	5.40E+01						
-20.37	3.23E-84	5.40E+01						
-20.36	3.23E-84	5.40E+01						
-20.35	3.23E-84	5.40E+01						
-20.34	3.23E-84	5.40E+01						
-20.33	3.23E-84	5.40E+01						
-20.32	3.23E-84	5.40E+01						
-20.31	3.23E-84	5.40E+01						
-20.3	3.23E-84	5.40E+01						
-20.29	3.23E-84	5.40E+01						
-20.28	3.23E-84	5.40E+01						
-20.27	3.23E-84	5.40E+01						
-20.26	3.23E-84	5.40E+01						
-20.25	3.23E-84	5.40E+01						
-20.24	3.23E-84	5.40E+01						
-20.23	3.23E-84	5.40E+01						
-20.22	3.23E-84	5.40E+01						
-20.21	3.23E-84	5.40E+01						
-20.2	3.23E-84	5.40E+01						
-20.19	3.23E-84	5.40E+01						
-20.18	3.23E-84	5.40E+01						
-20.17	3.23E-84	5.40E+01						
-20.16	3.23E-84	5.40E+01						
-20.15	3.23E-84	5.40E+01						
-20.14	3.23E-84	5.40E+01						
-20.13	3.23E-84	5.40E+01						
-20.12	3.23E-84	5.40E+01						
-20.11	3.23E-84	5.40E+01						
-20.1	3.23E-84	5.40E+01						
-20.09	3.23E-84	5.40E+01						
-20.08	3.23E-84	5.40E+01						
-20.07	3.23E-84	5.40E+01						
-20.06	3.23E-84	5.40E+01						
-20.05	3.23E-84	5.40E+01						
-20.04	3.23E-84	5.40E+01						
-20.03	3.23E-84	5.40E+01						
-20.02	3.23E-84	5.40E+01						
-20.01	3.23E-84	5.40E+01						
-20	3.23E-84	5.40E+01						
-19.99	3.23E-84	5.40E+01						
-19.98	3.23E-84	5.40E+01						
-19.97	3.23E-84	5.40E+01						
-19.96	3.23E-84	5.40E+01						
-19.95	3.23E-84	5.40E+01						
-19.94	3.23E-84	5.40E+01						
-19.93	3.23E-84	5.40E+01						
-19.92	3.23E-84	5.40E+01						
-19.91	3.23E-84	5.40E+01						
-19.9	3.23E-84	5.40E+01						
-19.89	3.23E-84	5.40E+01						
-19.88	3.23E-84	5.40E+01						
-19.87	3.23E-84	5.40E+01						
-19.86	3.23E-84	5.40E+01						
-19.85	3.23E-84	5.40E+01						
-19.84	3.23E-84	5.40E+01						
-19.83	3.23E-84	5.40E+01						
-19.82	3.23E-84	5.40E+01						
-19.81	3.23E-84	5.40E+01						
-19.8	3.23E-84	5.40E+01						
-19.79	3.23E-84	5.40E+01						
-19.78	3.23E-84	5.40E+01						
-19.77	3.23E-84	5.40E+01						
-19.76	3.23E-84	5.40E+01						
-19.75	3.23E-84	5.40E+01						
-19.74	3.23E-84	5.40E+01						
-19.73	3.23E-84	5.40E+01						
-19.72	3.23E-84	5.40E+01						
-19.71	3.23E-84	5.40E+01						
-19.7	3.23E-84	5.40E+01						
-19.69	3.23E-84	5.40E+01						
-19.68	3.23E-84	5.40E+01						
-19.67	3.23E-84	5.40E+01						
-19.66	3.23E-84	5.40E+01						
-19.65	3.23E-84	5.40E+01						
-19.64	3.23E-84	5.40E+01						
-19.63	3.23E-84	5.40E+01						
-19.62	3.23E-84	5.40E+01						
-19.61	3.23E-84	5.40E+01						
-19.6	3.23E-84	5.40E+01						
-19.59	3.23E-84	5.40E+01						
-19.58	3.23E-84	5.40E+01						
-19.57	3.23E-84	5.40E+01						
-19.56	3.23E-84	5.40E+01						
-19.55	3.23E-84	5.40E+01						
-19.54	3.23E-84	5.40E+01						
-19.53	3.23E-84	5.40E+01						
-19.52	3.23E-84	5.40E+01						
-19.51	3.23E-84	5.40E+01						
-19.5	3.23E-84	5.40E+01						
-19.49	3.23E-84	5.40E+01						
-19.48	3.23E-84	5.40E+01						
-19.47	3.23E-84	5.40E+01						
-19.46	3.23E-84	5.40E+01						
-19.45	3.23E-84	5.40E+01						
