E	(eV)	dos(E)	Int	dos(E)	EFermi	=	12.52	eV
-48.42	3.23E-84	5.13E-84						
-48.41	3.23E-84	5.16E-84						
-48.4	3.23E-84	5.19E-84						
-48.39	3.23E-84	5.23E-84						
-48.38	3.23E-84	5.26E-84						
-48.37	3.23E-84	5.29E-84						
-48.36	3.23E-84	5.32E-84						
-48.35	3.23E-84	5.35E-84						
-48.34	3.23E-84	5.39E-84						
-48.33	3.23E-84	5.42E-84						
-48.32	3.23E-84	5.45E-84						
-48.31	3.23E-84	5.48E-84						
-48.3	3.23E-84	5.52E-84						
-48.29	3.23E-84	5.55E-84						
-48.28	3.23E-84	5.58E-84						
-48.27	3.23E-84	5.61E-84						
-48.26	3.23E-84	5.64E-84						
-48.25	3.23E-84	5.68E-84						
-48.24	3.23E-84	5.71E-84						
-48.23	3.23E-84	5.74E-84						
-48.22	3.23E-84	5.77E-84						
-48.21	3.23E-84	5.81E-84						
-48.2	3.23E-84	5.84E-84						
-48.19	3.23E-84	5.87E-84						
-48.18	3.23E-84	5.90E-84						
-48.17	3.23E-84	5.93E-84						
-48.16	3.23E-84	5.97E-84						
-48.15	3.23E-84	6.00E-84						
-48.14	3.23E-84	6.03E-84						
-48.13	3.23E-84	6.06E-84						
-48.12	3.23E-84	6.10E-84						
-48.11	3.23E-84	6.13E-84						
-48.1	3.23E-84	6.16E-84						
-48.09	3.23E-84	6.19E-84						
-48.08	3.23E-84	6.22E-84						
-48.07	3.23E-84	6.26E-84						
-48.06	3.23E-84	6.29E-84						
-48.05	3.23E-84	6.32E-84						
-48.04	3.23E-84	6.35E-84						
-48.03	3.23E-84	6.39E-84						
-48.02	3.23E-84	6.42E-84						
-48.01	3.23E-84	6.45E-84						
-48	3.23E-84	6.48E-84						
-47.99	3.23E-84	6.52E-84						
-47.98	3.23E-84	6.55E-84						
-47.97	3.23E-84	6.58E-84						
-47.96	3.23E-84	6.61E-84						
-47.95	3.23E-84	6.64E-84						
-47.94	3.23E-84	6.68E-84						
-47.93	3.23E-84	6.71E-84						
-47.92	3.23E-84	6.74E-84						
-47.91	3.23E-84	6.77E-84						
-47.9	3.23E-84	6.81E-84						
-47.89	3.23E-84	6.84E-84						
-47.88	3.23E-84	6.87E-84						
-47.87	3.23E-84	6.90E-84						
-47.86	3.23E-84	6.93E-84						
-47.85	3.23E-84	6.97E-84						
-47.84	3.23E-84	7.00E-84						
-47.83	3.23E-84	7.03E-84						
-47.82	3.23E-84	7.06E-84						
-47.81	3.23E-84	7.10E-84						
-47.8	3.23E-84	7.13E-84						
-47.79	3.23E-84	7.16E-84						
-47.78	3.23E-84	7.19E-84						
-47.77	3.23E-84	7.22E-84						
-47.76	3.23E-84	7.26E-84						
-47.75	3.23E-84	7.29E-84						
-47.74	3.23E-84	7.32E-84						
-47.73	3.23E-84	7.35E-84						
-47.72	3.23E-84	7.39E-84						
-47.71	3.23E-84	7.42E-84						
-47.7	3.23E-84	7.45E-84						
-47.69	3.23E-84	7.48E-84						
-47.68	3.23E-84	7.52E-84						
-47.67	3.23E-84	7.55E-84						
-47.66	3.23E-84	7.58E-84						
-47.65	3.23E-84	7.61E-84						
-47.64	3.23E-84	7.64E-84						
-47.63	3.23E-84	7.68E-84						
-47.62	3.23E-84	7.71E-84						
-47.61	3.23E-84	7.74E-84						
-47.6	3.23E-84	7.77E-84						
-47.59	3.23E-84	7.81E-84						
-47.58	3.23E-84	7.84E-84						
-47.57	3.23E-84	7.87E-84						
-47.56	3.23E-84	7.90E-84						
-47.55	3.23E-84	7.93E-84						
-47.54	3.23E-84	7.97E-84						
-47.53	3.23E-84	8.00E-84						
-47.52	3.23E-84	8.03E-84						
-47.51	3.23E-84	8.06E-84						
-47.5	3.23E-84	8.10E-84						
-47.49	3.23E-84	8.13E-84						
-47.48	3.23E-84	8.16E-84						
-47.47	3.23E-84	8.19E-84						
-47.46	3.23E-84	8.22E-84						
-47.45	3.23E-84	8.26E-84						
-47.44	3.23E-84	8.29E-84						
-47.43	3.23E-84	8.32E-84						
-47.42	3.23E-84	8.35E-84						
-47.41	3.23E-84	8.39E-84						
-47.4	3.23E-84	8.42E-84						
-47.39	3.23E-84	8.45E-84						
-47.38	3.23E-84	8.48E-84						
-47.37	3.23E-84	8.51E-84						
-47.36	3.23E-84	8.55E-84						
-47.35	3.23E-84	8.58E-84						
-47.34	3.23E-84	8.61E-84						
-47.33	3.23E-84	8.64E-84						
-47.32	3.23E-84	8.68E-84						
-47.31	3.23E-84	8.71E-84						
-47.3	3.23E-84	8.74E-84						
-47.29	3.23E-84	8.77E-84						
-47.28	3.23E-84	8.81E-84						
-47.27	3.23E-84	8.84E-84						
-47.26	3.23E-84	8.87E-84						
-47.25	3.23E-84	8.90E-84						
-47.24	3.23E-84	8.93E-84						
-47.23	3.23E-84	8.97E-84						
-47.22	3.23E-84	9.00E-84						
-47.21	3.23E-84	9.03E-84						
-47.2	3.23E-84	9.06E-84						
-47.19	3.23E-84	9.10E-84						
-47.18	3.23E-84	9.13E-84						
-47.17	3.23E-84	9.16E-84						
-47.16	3.23E-84	9.19E-84						
-47.15	3.23E-84	9.22E-84						
-47.14	3.23E-84	9.26E-84						
-47.13	3.23E-84	9.29E-84						
-47.12	3.23E-84	9.32E-84						
-47.11	3.23E-84	9.35E-84						
-47.1	3.23E-84	9.39E-84						
-47.09	3.23E-84	9.42E-84						
-47.08	3.23E-84	9.45E-84						
-47.07	3.23E-84	9.48E-84						
-47.06	3.23E-84	9.51E-84						
-47.05	3.23E-84	9.55E-84						
-47.04	3.23E-84	9.58E-84						
-47.03	3.23E-84	9.61E-84						
-47.02	3.23E-84	9.64E-84						
-47.01	3.23E-84	9.68E-84						
-47	3.23E-84	9.71E-84						
-46.99	3.23E-84	9.74E-84						
-46.98	3.23E-84	9.77E-84						
-46.97	3.23E-84	9.80E-84						
-46.96	3.23E-84	9.84E-84						
-46.95	3.23E-84	9.87E-84						
-46.94	3.23E-84	9.90E-84						
-46.93	3.23E-84	9.93E-84						
-46.92	3.23E-84	9.97E-84						
-46.91	3.23E-84	1.00E-83						
-46.9	3.23E-84	1.00E-83						
-46.89	3.23E-84	1.01E-83						
-46.88	3.23E-84	1.01E-83						
-46.87	3.23E-84	1.01E-83						
-46.86	3.23E-84	1.02E-83						
-46.85	3.23E-84	1.02E-83						
-46.84	3.23E-84	1.02E-83						
-46.83	3.23E-84	1.03E-83						
-46.82	3.23E-84	1.03E-83						
-46.81	3.23E-84	1.03E-83						
-46.8	3.23E-84	1.04E-83						
-46.79	3.23E-84	1.04E-83						
-46.78	3.23E-84	1.04E-83						
-46.77	3.23E-84	1.05E-83						
-46.76	3.23E-84	1.05E-83						
-46.75	3.23E-84	1.05E-83						
-46.74	3.23E-84	1.06E-83						
-46.73	3.23E-84	1.06E-83						
-46.72	3.23E-84	1.06E-83						
-46.71	3.23E-84	1.06E-83						
-46.7	3.23E-84	1.07E-83						
-46.69	3.23E-84	1.07E-83						
-46.68	3.23E-84	1.07E-83						
-46.67	3.23E-84	1.08E-83						
-46.66	3.23E-84	1.08E-83						
-46.65	3.23E-84	1.08E-83						
-46.64	3.23E-84	1.09E-83						
-46.63	3.23E-84	1.09E-83						
-46.62	3.23E-84	1.09E-83						
-46.61	3.23E-84	1.10E-83						
-46.6	3.23E-84	1.10E-83						
-46.59	3.23E-84	1.10E-83						
-46.58	3.23E-84	1.11E-83						
-46.57	3.23E-84	1.11E-83						
-46.56	3.23E-84	1.11E-83						
-46.55	3.23E-84	1.12E-83						
-46.54	3.23E-84	1.12E-83						
-46.53	3.23E-84	1.12E-83						
-46.52	3.23E-84	1.13E-83						
-46.51	3.23E-84	1.13E-83						
-46.5	3.23E-84	1.13E-83						
-46.49	3.23E-84	1.14E-83						
-46.48	3.23E-84	1.14E-83						
-46.47	3.23E-84	1.14E-83						
-46.46	3.23E-84	1.15E-83						
-46.45	3.23E-84	1.15E-83						
-46.44	3.23E-84	1.15E-83						
-46.43	3.23E-84	1.16E-83						
-46.42	3.23E-84	1.16E-83						
-46.41	3.23E-84	1.16E-83						
-46.4	3.23E-84	1.16E-83						
-46.39	3.23E-84	1.17E-83						
-46.38	3.23E-84	1.17E-83						
-46.37	3.23E-84	1.17E-83						
-46.36	3.23E-84	1.18E-83						
-46.35	3.23E-84	1.18E-83						
-46.34	3.23E-84	1.18E-83						
-46.33	3.23E-84	1.19E-83						
-46.32	3.23E-84	1.19E-83						
-46.31	3.23E-84	1.19E-83						
-46.3	3.23E-84	1.20E-83						
-46.29	3.23E-84	1.20E-83						
-46.28	3.23E-84	1.20E-83						
-46.27	3.23E-84	1.21E-83						
-46.26	3.23E-84	1.21E-83						
-46.25	3.23E-84	1.21E-83						
-46.24	3.23E-84	1.22E-83						
-46.23	3.23E-84	1.22E-83						
-46.22	3.23E-84	1.22E-83						
-46.21	3.23E-84	1.23E-83						
-46.2	3.23E-84	1.23E-83						
-46.19	3.23E-84	1.23E-83						
-46.18	3.23E-84	1.24E-83						
-46.17	3.23E-84	1.24E-83						
-46.16	3.23E-84	1.24E-83						
-46.15	3.23E-84	1.25E-83						
-46.14	3.23E-84	1.25E-83						
-46.13	3.23E-84	1.25E-83						
-46.12	3.23E-84	1.26E-83						
-46.11	3.23E-84	1.26E-83						
-46.1	3.23E-84	1.26E-83						
-46.09	3.23E-84	1.26E-83						
-46.08	3.23E-84	1.27E-83						
-46.07	3.23E-84	1.27E-83						
-46.06	3.23E-84	1.27E-83						
-46.05	3.23E-84	1.28E-83						
-46.04	3.23E-84	1.28E-83						
-46.03	3.23E-84	1.28E-83						
-46.02	3.23E-84	1.29E-83						
-46.01	3.23E-84	1.29E-83						
-46	3.23E-84	1.29E-83						
-45.99	3.23E-84	1.30E-83						
-45.98	3.23E-84	1.30E-83						
-45.97	3.23E-84	1.30E-83						
-45.96	3.23E-84	1.31E-83						
-45.95	3.23E-84	1.31E-83						
-45.94	3.23E-84	1.31E-83						
-45.93	3.23E-84	1.32E-83						
-45.92	3.23E-84	1.32E-83						
-45.91	3.23E-84	1.32E-83						
-45.9	3.23E-84	1.33E-83						
-45.89	3.23E-84	1.33E-83						
-45.88	3.23E-84	1.33E-83						
-45.87	3.23E-84	1.34E-83						
-45.86	3.23E-84	1.34E-83						
-45.85	3.23E-84	1.34E-83						
-45.84	3.23E-84	1.35E-83						
-45.83	3.23E-84	1.35E-83						
-45.82	3.23E-84	1.35E-83						
-45.81	3.23E-84	1.36E-83						
-45.8	3.23E-84	1.36E-83						
-45.79	3.23E-84	1.36E-83						
-45.78	3.23E-84	1.36E-83						
-45.77	3.23E-84	1.37E-83						
-45.76	3.23E-84	1.37E-83						
-45.75	3.23E-84	1.37E-83						
-45.74	3.23E-84	1.38E-83						
-45.73	3.23E-84	1.38E-83						
-45.72	3.23E-84	1.38E-83						
-45.71	3.23E-84	1.39E-83						
-45.7	3.23E-84	1.39E-83						
-45.69	3.23E-84	1.39E-83						
-45.68	3.23E-84	1.40E-83						
-45.67	3.23E-84	1.40E-83						
-45.66	3.23E-84	1.40E-83						
-45.65	3.23E-84	1.41E-83						
-45.64	3.23E-84	1.41E-83						
-45.63	3.23E-84	1.41E-83						
-45.62	3.23E-84	1.42E-83						
-45.61	3.23E-84	1.42E-83						
-45.6	3.23E-84	1.42E-83						
-45.59	3.23E-84	1.43E-83						
-45.58	3.23E-84	1.43E-83						
-45.57	3.23E-84	1.43E-83						
-45.56	3.23E-84	1.44E-83						
-45.55	3.23E-84	1.44E-83						
-45.54	3.23E-84	1.44E-83						
-45.53	3.23E-84	1.45E-83						
-45.52	3.23E-84	1.45E-83						
-45.51	3.23E-84	1.45E-83						
-45.5	3.23E-84	1.46E-83						
-45.49	3.23E-84	1.46E-83						
-45.48	3.23E-84	1.46E-83						
-45.47	3.23E-84	1.46E-83						
-45.46	3.23E-84	1.47E-83						
-45.45	3.23E-84	1.47E-83						
-45.44	3.23E-84	1.47E-83						
-45.43	3.23E-84	1.48E-83						
-45.42	3.23E-84	1.48E-83						
-45.41	3.23E-84	1.48E-83						
-45.4	3.23E-84	1.49E-83						
-45.39	3.23E-84	1.49E-83						
-45.38	3.23E-84	1.49E-83						
-45.37	3.23E-84	1.50E-83						
-45.36	3.23E-84	1.50E-83						
-45.35	3.23E-84	1.50E-83						
-45.34	3.23E-84	1.51E-83						
-45.33	3.23E-84	1.51E-83						
-45.32	3.23E-84	1.51E-83						
-45.31	3.23E-84	1.52E-83						
-45.3	3.23E-84	1.52E-83						
-45.29	3.23E-84	1.52E-83						
-45.28	3.23E-84	1.53E-83						
-45.27	3.23E-84	1.53E-83						
-45.26	3.23E-84	1.53E-83						
-45.25	3.23E-84	1.54E-83						
-45.24	3.23E-84	1.54E-83						
-45.23	3.23E-84	1.54E-83						
-45.22	3.23E-84	1.55E-83						
-45.21	3.23E-84	1.55E-83						
-45.2	3.23E-84	1.55E-83						
-45.19	3.23E-84	1.56E-83						
-45.18	3.23E-84	1.56E-83						
-45.17	3.23E-84	1.56E-83						
-45.16	3.23E-84	1.56E-83						
-45.15	3.23E-84	1.57E-83						
-45.14	3.23E-84	1.57E-83						
-45.13	3.23E-84	1.57E-83						
-45.12	3.23E-84	1.58E-83						
-45.11	3.23E-84	1.58E-83						
-45.1	3.23E-84	1.58E-83						
-45.09	3.23E-84	1.59E-83						
-45.08	3.23E-84	1.59E-83						
-45.07	3.23E-84	1.59E-83						
-45.06	3.23E-84	1.60E-83						
-45.05	3.23E-84	1.60E-83						
-45.04	3.23E-84	1.60E-83						
-45.03	3.23E-84	1.61E-83						
-45.02	3.23E-84	1.61E-83						
-45.01	3.23E-84	1.61E-83						
-45	3.23E-84	1.62E-83						
-44.99	3.23E-84	1.62E-83						
-44.98	3.23E-84	1.62E-83						
-44.97	3.23E-84	1.63E-83						
-44.96	3.23E-84	1.63E-83						
-44.95	3.23E-84	1.63E-83						
-44.94	3.23E-84	1.64E-83						
-44.93	3.23E-84	1.64E-83						
-44.92	3.23E-84	1.64E-83						
-44.91	3.23E-84	1.65E-83						
-44.9	3.23E-84	1.65E-83						
-44.89	3.23E-84	1.65E-83						
-44.88	3.23E-84	1.65E-83						
-44.87	3.23E-84	1.66E-83						
-44.86	3.23E-84	1.66E-83						
-44.85	3.23E-84	1.66E-83						
-44.84	3.23E-84	1.67E-83						
-44.83	3.23E-84	1.67E-83						
-44.82	3.23E-84	1.67E-83						
-44.81	3.23E-84	1.68E-83						
-44.8	3.23E-84	1.68E-83						
-44.79	3.23E-84	1.68E-83						
-44.78	3.23E-84	1.69E-83						
-44.77	3.23E-84	1.69E-83						
-44.76	3.23E-84	1.69E-83						
-44.75	3.23E-84	1.70E-83						
-44.74	3.23E-84	1.70E-83						
-44.73	3.23E-84	1.70E-83						
-44.72	3.23E-84	1.71E-83						
-44.71	3.23E-84	1.71E-83						
-44.7	3.23E-84	1.71E-83						
-44.69	3.23E-84	1.72E-83						
-44.68	3.23E-84	1.72E-83						
-44.67	3.23E-84	1.72E-83						
-44.66	3.23E-84	1.73E-83						
-44.65	3.23E-84	1.73E-83						
-44.64	3.23E-84	1.73E-83						
-44.63	3.23E-84	1.74E-83						
-44.62	3.23E-84	1.74E-83						
-44.61	3.23E-84	1.74E-83						
