 &plot nbnd=  31, nks=   183 /
            0.000000  0.000000  0.000000
  -71.099  -71.094  -35.325  -35.320  -35.225  -35.225  -35.220  -35.220  -11.707  -11.691
  -10.483  -10.455   -3.220   -3.090    0.597    0.653    0.653    0.658    0.658    1.027
    1.744    1.744    1.750    1.750    2.562    2.814    5.848    5.848    5.853    5.853
    5.996
            0.025000  0.014434  0.000000
  -71.099  -71.094  -35.325  -35.320  -35.226  -35.225  -35.221  -35.220  -11.698  -11.682
  -10.478  -10.450   -3.208   -3.078    0.579    0.623    0.628    0.662    0.667    0.995
    1.728    1.733    1.749    1.760    2.561    2.809    5.821    5.826    5.864    5.870
    5.947
            0.050000  0.028868  0.000000
  -71.098  -71.094  -35.324  -35.319  -35.230  -35.226  -35.225  -35.221  -11.671  -11.655
  -10.465  -10.437   -3.173   -3.042    0.528    0.536    0.541    0.688    0.693    0.908
    1.679    1.685    1.750    1.792    2.558    2.795    5.748    5.756    5.799    5.845
    5.913
            0.075000  0.043301  0.000000
  -71.098  -71.093  -35.323  -35.318  -35.236  -35.232  -35.228  -35.223  -11.626  -11.609
  -10.442  -10.415   -3.114   -2.984    0.397    0.402    0.448    0.731    0.736    0.783
    1.603    1.609    1.744    1.821    2.550    2.768    5.603    5.648    5.654    5.713
    5.889
            0.100000  0.057735  0.000000
  -71.098  -71.093  -35.321  -35.316  -35.245  -35.240  -35.230  -35.225  -11.563  -11.547
  -10.411  -10.384   -3.034   -2.903    0.215    0.220    0.343    0.633    0.790    0.795
    1.504    1.509    1.722    1.832    2.532    2.725    5.400    5.506    5.549    5.612
    5.815
            0.125000  0.072169  0.000000
  -71.097  -71.093  -35.319  -35.314  -35.255  -35.251  -35.232  -35.227  -11.484  -11.468
  -10.372  -10.346   -2.933   -2.803   -0.001    0.005    0.218    0.465    0.863    0.868
    1.387    1.393    1.679    1.813    2.501    2.663    5.206    5.355    5.467    5.549
    5.730
            0.150000  0.086603  0.000000
  -71.097  -71.092  -35.317  -35.312  -35.268  -35.263  -35.235  -35.230  -11.390  -11.374
  -10.325  -10.299   -2.814   -2.685   -0.241   -0.235    0.075    0.283    0.950    0.955
    1.259    1.265    1.612    1.763    2.452    2.579    5.036    5.222    5.420    5.527
    5.638
            0.175000  0.101036  0.000000
  -71.096  -71.091  -35.314  -35.310  -35.281  -35.277  -35.238  -35.234  -11.281  -11.266
  -10.271  -10.246   -2.681   -2.552   -0.497   -0.491   -0.084    0.088    1.047    1.053
    1.124    1.131    1.526    1.686    2.381    2.474    4.904    5.119    5.414    5.545
    5.549
            0.200000  0.115470  0.000000
  -71.096  -71.091  -35.312  -35.307  -35.296  -35.292  -35.242  -35.237  -11.160  -11.145
  -10.211  -10.188   -2.538   -2.412   -0.760   -0.752   -0.259   -0.118    0.988    0.994
    1.153    1.159    1.426    1.590    2.288    2.352    4.815    5.051    5.449    5.457
    5.476
            0.225000  0.129904  0.000000
  -71.095  -71.090  -35.312  -35.309  -35.307  -35.304  -35.246  -35.241  -11.028  -11.013
  -10.146  -10.124   -2.394   -2.272   -1.020   -1.009   -0.448   -0.334    0.852    0.859
    1.264    1.270    1.321    1.484    2.178    2.221    4.773    5.019    5.378    5.396
    5.519
            0.250000  0.144338  0.000000
  -71.094  -71.089  -35.328  -35.323  -35.306  -35.301  -35.249  -35.245  -10.888  -10.873
  -10.077  -10.056   -2.265   -2.153   -1.262   -1.243   -0.647   -0.556    0.722    0.728
    1.220    1.376    1.377    1.383    2.062    2.092    4.773    5.020    5.311    5.329
    5.616
            0.275000  0.158771  0.000000
  -71.094  -71.089  -35.344  -35.339  -35.303  -35.298  -35.253  -35.248  -10.741  -10.727
  -10.006   -9.987   -2.187   -2.097   -1.452   -1.411   -0.852   -0.779    0.598    0.604
    1.127    1.276    1.486    1.494    1.950    1.976    4.811    5.048    5.259    5.276
    5.733
            0.300000  0.173205  0.000000
  -71.093  -71.088  -35.359  -35.354  -35.300  -35.295  -35.257  -35.252  -10.592  -10.578
   -9.935   -9.916   -2.220   -2.165   -1.531   -1.457   -1.057   -0.999    0.483    0.490
    1.047    1.184    1.592    1.600    1.857    1.884    4.877    5.098    5.225    5.241
    5.861
            0.325000  0.187639  0.000000
  -71.092  -71.088  -35.374  -35.369  -35.297  -35.292  -35.261  -35.256  -10.443  -10.429
   -9.864   -9.847   -2.367   -2.332   -1.501   -1.410   -1.254   -1.207    0.378    0.385
    0.979    1.103    1.688    1.698    1.793    1.824    4.967    5.165    5.209    5.223
    5.991
            0.350000  0.202073  0.000000
  -71.092  -71.087  -35.387  -35.382  -35.295  -35.290  -35.264  -35.259  -10.299  -10.286
   -9.796   -9.781   -2.559   -2.532   -1.475   -1.422   -1.392   -1.315    0.286    0.293
    0.926    1.034    1.766    1.774    1.785    1.801    5.072    5.210    5.222    5.245
    6.118
            0.375000  0.216506  0.000000
  -71.091  -71.086  -35.399  -35.394  -35.292  -35.287  -35.267  -35.262  -10.164  -10.152
   -9.734   -9.720   -2.754   -2.729   -1.624   -1.591   -1.339   -1.252    0.206    0.213
    0.884    0.977    1.775    1.813    1.847    1.859    5.188    5.224    5.235    5.333
    6.232
            0.400000  0.230940  0.000000
  -71.091  -71.086  -35.409  -35.405  -35.290  -35.286  -35.269  -35.264  -10.044  -10.033
   -9.679   -9.667   -2.930   -2.907   -1.769   -1.742   -1.282   -1.199    0.139    0.146
    0.855    0.930    1.816    1.854    1.905    1.918    5.248    5.257    5.309    5.427
    6.331
            0.425000  0.245374  0.000000
  -71.090  -71.086  -35.418  -35.413  -35.289  -35.284  -35.271  -35.266   -9.943   -9.933
   -9.633   -9.623   -3.078   -3.055   -1.888   -1.865   -1.241   -1.164    0.087    0.094
